"No","Apakah.BapakIbu.tahu.mengenai.pendanaan.untuk.mengembangkan.usaha","Apakah.Bapak.Ibu.tahu.yang.dimaksud.dengan.dana.desa","Apakah.Bapak.Ibu.tahu.yang.dimaksud.dengan.dana.CSR.Coorporate.Social.Responsibility","Modal.Usaha.Bapak.Ibu.diperoleh.dari","Modal.awal","Apakah.Bapak.Ibu.mengetahui.adanya.perusahaan.listrik","Jika.tahu.sudah.berapa.lama.perusahaan.beraktifitas.tahun","Apakah.perusahaan.memberikan.bantuan.buat.masyarakat.desa","dalam.bentuk","Apakah.pemerintah.desa.memberikan.bantuan.buat.masyarakat","Jika.ya.dalam.bentuk"
1,"2","1","2","1","2.000.000","1","3","1","1","1","3"
2,"2","1","1","1","3.000.000","1","7","1","1","1","3"
3,"1","1","1","3","30.000.000","1","3","1","1","1","3"
4,"2","1","2","1","2.000.000","1","3","2","1","1","4"
5,"2","1","1","1","300","1","10","1","1","1","1"
6,"1","2","1","1","2.000.000","1","8","1","1","1","1"
7,"2","2","2","1","1.000.000","1","23","1","1","2",NA
8,"1","1","2","2","1.500.000","1","13","1","1","1","1"
9,"2","2","2","1","2.000.000","2",NA,"2",NA,"2",NA
10,"1","2","2","1","1.000.000","1","3","1","1","1","1"
11,"2","2","2","1","300","1","6","1","1","1","1"
12,"2","2","2","1","20.000.000","1","7","1","1","1","1"
13,"2","1","1","1","1.000.000","1","12","1","1","1","1"
14,"1","2","1","1","2.000.000","1","8","1","1","2",NA
15,"2","2","2","3","5.000.000","2",NA,"2",NA,"1","1"
16,"2","2","1","1","5.000.000","1","5","1","1","1","1"
18,"1","1","1","1","","1",NA,"1","1","1","1"
19,"1","1","1","1","","1",NA,"1","1","1","1"
20,"1","1","1","1","","1",NA,"1","1","1","1"
21,"2","1","1","1","","1",NA,"1","1","1","1"
22,"1","1","1","1","","1","","1","1","1","1"
