"No","Apakah.Anda.atau.anggota.keluarga.Anda.memiliki.usaha.sendiri.di.desa.ini","Berapa.pendapatan.bulanan.Anda.atau.anggota.keluarga.Anda.secara.keseluruhan.Kisaran.jumlah","Apakah.Anda.atau.anggota.keluarga.Anda.menerima.bantuan.sosial","Jika.ya.sebutkan.aspek.ekonomi","Bagaimana.Anda.menilai.stabilitas.harga.pangan.saat.ini","Apakah.Anda.memiliki.simpanan.atau.investasi.di.luar.penghasilan.bulanan.Anda","Apakah.Anda.merasa.terdapat.peluang.ekonomi.yang.cukup.di.desa.ini","Bagaimana.Anda.menilai.aksesibilitas.dan.ketersediaan.lapangan.pekerjaan.di.desa.ini","Apakah.Anda.merasa.terdapat.kesenjangan.ekonomi.di.antara.penduduk.di.desa.ini"
1,1,3,2,"",1,2,1,2,3
2,1,2,2,"",2,2,1,1,4
3,1,3,2,"",2,1,1,3,3
4,1,2,2,"",2,2,1,3,4
5,2,2,1,"Dana bos, Santunan PT Tamaris",2,2,2,3,3
6,1,1,2,"",2,2,1,3,3
7,2,3,2,"",2,2,2,2,3
8,1,2,2,"",2,2,2,2,3
9,1,2,2,"",3,2,2,2,4
10,2,1,2,"",2,2,2,2,3
11,1,1,2,"",2,2,2,2,2
12,2,1,2,"",2,1,2,2,2
13,1,4,2,"",3,2,2,2,2
14,2,1,1,"PIP",1,2,2,2,3
15,1,1,2,"",2,2,2,2,3
16,2,2,2,"",2,1,2,2,1
17,1,2,1,"BLT corona",3,2,1,2,2
18,2,2,2,"",2,2,2,2,2
19,1,3,2,"",2,1,1,2,2
20,1,1,1,"Sembako, Obat-obatan (Pribadi)",2,1,2,4,3
21,2,2,2,"",3,2,1,3,2
22,1,2,1,"Dana bos",2,2,2,2,3
23,1,1,2,"",3,2,2,2,3
24,1,3,1,"BLT",2,2,2,3,4
25,1,2,2,"",2,2,1,2,4
