"No","Berapa.lama.Anda.sudah.tinggal.di.desa.ini.tahun","Apakah.Anda.berencana.untuk.tinggal.di.desa.ini.dalam.jangka.waktu.yang.lama","Apakah.Anda.melihat.perubahan.signifikan.dalam.kondisi.ekonomi.dan.sosial.desa.dalam.beberapa.tahun.terakhir","Apakah.Anda.memiliki.saran.atau.masukan.untuk.meningkatkan.aspek.sosial.ekonomi.di.desa.ini"
1,25,2,1,"Adanya pemberian modal usaha, pelatihan wirausaha, PT lebih berperan aktif"
2,16,1,1,"Meningkatkan SDM, konsisten kepengurusan lembaga usaha (usaha keberlanjutan)"
3,40,1,1,"Lebih meningkatkan wawasan/ SDM, berpartisipasi aktif dalam kondisi desa"
4,48,1,1,""
5,42,1,1,"Pertenakan kambing/domba saat ini masi terencana, sapi sudah mulai berjalan. Pertanian buah-buahan sudah mulai tersalurkan dari dinas pertanian ke warga desa. Harapannya dapat terus berjalan, adanya pasar desa"
6,3,1,1,"Adanya lapangan pekerjaan bagi pemuda di desa ini"
7,41,1,2,"Bangunan bidan desa/ posyandu harusnya terpisah dengan PAUD"
8,33,1,2,"Mengadakan lapangan pekerjaan karena di desa ini masih banyak pengangguran"
9,16,1,2,"Perbaikan bangunan pendidikan, ada tunjangan tunai untuk masyarakat yang membutuhkan, bantuan bedah rumah dan sembako untuk jompo"
10,39,1,1,"Adanya lapangan pekerjaan bagi pemuda di desa ini, adanya pasar desa, pelatihan rutin untuk meningkatkan wawasan warga desa"
11,55,1,1,"Penambahan lapangan pekerjaan (adanya investor yang mendirikan perusahan di desa ini, sehingga masyarakat desa ini dapat bekerja)"
12,1,3,2,"Perbaikan infrastruktur terutama jalan"
13,22,1,2,"Pembangunan di segi sosial, perbaikan struktur pemerintahan desa"
14,15,2,1,"Pembangunan mall, bioskop, rumah sakit"
15,50,3,2,"Perbaikan jalan, adanya peminjaman modal usaha"
16,29,3,2,""
17,29,1,2,"Jalan lebih diperbaiki, adanya pasar dan bangunan kesehatan desa"
18,37,1,1,"Aparat desa harusnya lebih tahu mengenai warga secara menyeluruh, adanya lapangan pekerjaan di desa ini"
19,27,3,1,"Tersedianya lapangan pekerjaan di desa ini"
20,45,1,1,"Harga pangan lebih stabil, tersedianya fasilitas umum"
21,12,3,1,"Desa ini lebih baik lagi kedepannya (diadakan pasar desa)"
22,42,3,1,"Terbukanya lowongan pekerjaan untuk lulusan SMA/SMK warga setempat (adanya perusahaan di desa ini, sehingga putra daerah bisa bekerja walaupun keterbatasan), membuka pasar usaha untuk pertanian/ perkebunan"
23,32,1,1,"Adanya bantuan modal untuk pertanian/ perkebunan, mengadakan pasar desa"
24,23,2,1,"Pengembangan SDM"
25,4,1,1,""
